z_um,fraction_captured,power_dbm
0.0,0.0,-inf
1.0,0.15165518964210592,-8.191427235375174
2.0,0.2960565595987271,-5.286253119980571
3.0,0.4268887016420757,-3.696853394088296
4.0,0.5395127184565476,-2.679983128153794
5.0,0.6313629988352728,-1.9972087361980904
6.0,0.7019579000072286,-1.5368893394259358
7.0,0.7525782460233288,-1.2344833952209753
8.0,0.7857369537153714,-1.0472282122538268
9.0,0.8045864543098473,-0.9442728330839029
10.0,0.8123900501903742,-0.902354042897298
11.0,0.8121353948779222,-0.9037156146501677
12.0,0.8063142320272343,-0.9349567452243142
13.0,0.7968495740587593,-0.9862365516864404
14.0,0.7851279089466286,-1.0505958449743444
15.0,0.7720892460794226,-1.1233249650409507
16.0,0.7583358449803735,-1.2013841531864946
17.0,0.7442339430867438,-1.2829052652208301
18.0,0.7299959093540773,-1.3667957350958408
19.0,0.7157399058060817,-1.4524476818744083
20.0,0.7015296572886054,-1.5395396437256548
21.0,0.6873990797643295,-1.6279105359760246
22.0,0.6733665611563588,-1.7174845412828608
23.0,0.6594427580597255,-1.8082289676314254
24.0,0.6456346199319674,-1.9001319011637097
25.0,0.6319473587204052,-1.9931909698568107
26.0,0.6183853650133486,-2.0874079717698173
27.0,0.6049526134300717,-2.1827864275551603
28.0,0.5916528330865315,-2.2793305155573704
29.0,0.5784895753067009,-2.3770446286187394
30.0,0.5654662385398327,-2.4759331974569934
31.0,0.5525860763259713,-2.5760006232754495
32.0,0.5398521989210561,-2.6772512532347963
33.0,0.5272675727429914,-2.7796893720604547
34.0,0.5148350192005419,-2.883319199488933
35.0,0.5025572134669513,-2.988144889750231
36.0,0.4904366833920897,-3.094170531737081
37.0,0.47847580861681405,-3.2014001494004307
38.0,0.4666768199088689,-3.3098377022193737
39.0,0.4550417987248615,-3.419487085697109
40.0,0.4435726769978945,-3.5303521318676716
41.0,0.43227123714859195,-3.6424366098087058
42.0,0.421139112316424,-3.7557442261584724
43.0,0.4101777868076596,-3.8702786256363693
44.0,0.3993885967558348,-3.986043391566418
45.0,0.3887727309902014,-4.103042046403273
46.0,0.3783312321072263,-4.221278052260389
47.0,0.3680649977398479,-4.3407548114399255
48.0,0.3579747820188347,-4.461475666964064
49.0,0.3480611972202705,-4.583443903107346
50.0,0.33832471559287025,-4.706662745929776
51.0,0.3287656713585566,-4.8311353638102625
52.0,0.3193842628794479,-4.956864867980192
53.0,0.31018055498417474,-5.083854313056807
54.0,0.30115448144622237,-5.212106697576075
55.0,0.2923058476067917,-5.341624964524866
56.0,0.28363433313451003,-5.472412001872106
57.0,0.2751394949141637,-5.604470643098699
58.0,0.26682077005649874,-5.737803667726029
59.0,0.2586774790210422,-5.872413801842735
60.0,0.2507088288438014,-6.008303718629643
61.0,0.24291391646165328,-6.1454760388826015
62.0,0.23529173212519328,-6.283933331533083
63.0,0.22784116289180745,-6.423678114166305
64.0,0.2205609961907281,-6.564712853536832
65.0,0.21344992345188152,-6.70703996608132
66.0,0.2065065437903647,-6.85066181842844
67.0,0.19972936773847538,-6.995580727905764
68.0,0.1931168210173032,-7.141798963043414
69.0,0.1866672483399917,-7.289318744074526
70.0,0.1803789172389193,-7.4381422434322175
71.0,0.17425002190917394,-7.588271586243131
72.0,0.1682786870608698,-7.739708850817333
73.0,0.1624629717730176,-7.8924560691345
74.0,0.15680087334184867,-8.046515227326427
75.0,0.15129033111670398,-8.201888266155525
76.0,0.14592923031679472,-8.358577081489575
77.0,0.1407154058223874,-8.51658352477233
78.0,0.13564664593418174,-8.67590940349017
79.0,0.13072069609490766,-8.836556481634624
80.0,0.12593526256741572,-8.998526480160717
81.0,0.12128801606379414,-9.161821077441191
82.0,0.11677659532031948,-9.32644190971637
83.0,0.11239861061330858,-9.492390571539925
84.0,0.1081516472112316,-9.659668616220177
85.0,0.104033268758713,-9.82827755625717
86.0,0.10004102058833608,-9.99821886377543
87.0,0.09617243295645717,-10.169493970952225
88.0,0.09242502419950649,-10.34210427044163
89.0,0.08879630380755688,-10.51605111579406
90.0,0.08528377541220966,-10.691335821871494
91.0,0.08188493968614086,-10.86795966525832
92.0,0.07859729715193065,-11.045923884667614
93.0,0.07541835089806503,-11.225229681343311
94.0,0.0723456092002912,-11.40587821945777
95.0,0.0693765880467615,-11.587870626505
96.0,0.0665088135656694,-11.771207993689574
97.0,0.06373982435434211,-11.95589137631114
98.0,0.061067173709001055,-12.141921794144618
99.0,0.05848843175465013,-12.329300231816001
100.0,0.05600118747478455,-12.518027639173965
