z_um,fraction_captured,power_dbm
0.0,0.0,-inf
1.0,0.022415254052070566,-16.494563345235026
2.0,0.044772759728558736,-13.489861355038483
3.0,0.06701508990971014,-11.738273954090783
4.0,0.0890854570814911,-10.501931873745418
5.0,0.11092802591048265,-9.549587157031219
6.0,0.13248821724785267,-8.77822743702865
7.0,0.15371300087469497,-8.132893988024136
8.0,0.1745511744425406,-7.580772247518432
9.0,0.1949536262353734,-7.100686823053563
10.0,0.2148735795802318,-6.678169811949727
11.0,0.23426681695923443,-6.302892232771169
12.0,0.2530918821230492,-5.96721784536351
13.0,0.27131025877053727,-5.665337844057387
14.0,0.2888865246374577,-5.392727157261868
15.0,0.3057884801244377,-5.145788796582518
16.0,0.32198725088659985,-4.921613238917896
17.0,0.3374573640999755,-4.7178109010938325
18.0,0.35217679840889926,-4.5323925897321615
19.0,0.36612700783994917,-4.363682336335421
20.0,0.3792929202378213,-4.210252636255588
21.0,0.39166291103330886,-4.070875525170053
22.0,0.40322875339011105,-3.944485068367766
23.0,0.4139855459927561,-3.8301482169352075
24.0,0.4239316199301334,-3.727041893552698
25.0,0.43306842629612563,-3.634434782078494
26.0,0.4414004062691795,-3.551672714453615
27.0,0.4489348455454532,-3.478166841042804
28.0,0.4556817150849667,-3.4133839778801853
29.0,0.4616535001869847,-3.3568386733582862
30.0,0.4668650199401518,-3.3080866454868616
31.0,0.47133323909555647,-3.2667193209106737
32.0,0.47507707438818503,-3.2323592665706125
33.0,0.47811719728576757,-3.2046563498651297
34.0,0.4804758350756867,-3.1832844973776493
35.0,0.48217657211258563,-3.1679389484907396
36.0,0.483244152943908,-3.1583339205276397
37.0,0.4837042889103067,-3.1542006179115676
38.0,0.4835834696852464,-3.1552855302876024
39.0,0.4829087810758106,-3.1613489744062058
40.0,0.4817077302572881,-3.1721638424162535
41.0,0.4800080794601449,-3.1875145255060646
42.0,0.47783768897187273,-3.2071959869039652
43.0,0.4752243701603296,-3.2310129623651562
44.0,0.472195749071657,-3.258779269629934
45.0,0.4687791410066511,-3.290317211095302
46.0,0.46500143633635865,-3.3254570562189274
47.0,0.4608889976821403,-3.3640365920671673
48.0,0.45646756845885017,-3.4059007320023134
49.0,0.45176219266311435,-3.4509011738384703
50.0,0.4467971456828228,-3.498896099927742
51.0,0.4415958758094142,-3.5497499126069076
52.0,0.43618095605171736,-3.6033329992696976
53.0,0.4305740457791679,-3.6595215220552673
54.0,0.42479586166304173,-3.718197227779517
55.0,0.418866157336797,-3.7792472742971417
56.0,0.41280371116021164,-3.842564069981985
57.0,0.4066263214462922,-3.9080451234605604
58.0,0.40035080849422977,-3.975592901136536
59.0,0.39399302276527515,-4.045114690408485
60.0,0.3875678585404806,-4.1165224668140095
61.0,0.3810892724089666,-4.189732763633965
62.0,0.3745703059518021,-4.264666542763918
63.0,0.3680231120088703,-4.341249065907911
64.0,0.361458983943295,-4.419409765373994
65.0,0.354888387349254,-4.499082113952979
66.0,0.3483209936834807,-4.580203493542071
67.0,0.3417657153375888,-4.662715062335111
68.0,0.3352307417068613,-4.746561620540721
69.0,0.3287235758505632,-4.83169147471054
70.0,0.3222510713785727,-4.918056300861849
71.0,0.3158194692385996,-5.005611006663505
72.0,0.30943443411697447,-5.0943135930218695
73.0,0.3031010902035034,-5.184125015455608
74.0,0.2968240561068778,-5.275009045685311
75.0,0.29060747874124815,-5.366932133887811
76.0,0.28445506603664505,-5.459863272076246
77.0,0.27837011835574166,-5.553773859067271
78.0,0.2723555585269226,-5.648637567487133
79.0,0.2664139604286482,-5.744430213250423
80.0,0.26054757608270296,-5.8411296279199405
81.0,0.2547583612340606,-5.938715534325284
82.0,0.24904799941288402,-6.037169425781937
83.0,0.24341792448965727,-6.1364744492136305
84.0,0.23786934174771668,-6.236615292439474
85.0,0.23240324750867114,-6.337578075844532
86.0,0.2270204473554548,-6.439350248609731
87.0,0.2217215730052392,-6.541920489634294
88.0,0.21650709789026246,-6.645278613242667
89.0,0.21137735150898007,-6.749415479728245
90.0,0.20633253261295859,-6.854322910749001
91.0,0.2013727212967651,-6.959993609555438
92.0,0.19649789005891338,-7.066421085999577
93.0,0.1917079139018325,-7.173599586245222
94.0,0.18700257953797483,-7.281524027074494
95.0,0.1823815937677028,-7.390189934663487
96.0,0.17784459109257844,-7.4995933876815135
97.0,0.17339114062527095,-7.609730964552627
98.0,0.16902075235455016,-7.7205996947058795
99.0,0.1647328828208613,-7.832197013631213
100.0,0.16052694025484038,-7.9445207215510125
