z_um,fraction_captured,power_dbm
0.0,0.0,-inf
1.0,0.04307905438561484,-13.657338383270911
2.0,0.08588453913633975,-10.660850104657577
3.0,0.12814700827139602,-8.922915284293323
4.0,0.1696051602392661,-7.7056093846287785
5.0,0.21000965654090925,-6.7776073533269185
6.0,0.24912664597688622,-6.035798189033273
7.0,0.28674091246863354,-5.425103370788856
8.0,0.3226585772502672,-4.9125678552989545
9.0,0.35670930117960353,-4.4768556630416825
10.0,0.38874794932878365,-4.103318888912603
11.0,0.41865569719226536,-3.781429944059376
12.0,0.44634057508824354,-3.5033363134017885
13.0,0.4717374639482813,-3.262996320436354
14.0,0.49480757106533996,-3.0556366383931204
15.0,0.5155374279637592,-2.877397995015736
16.0,0.5339374639342556,-2.7250960562814583
17.0,0.5500402176331906,-2.5960555476465204
18.0,0.5638982552984816,-2.487992491169389
19.0,0.5755818675350748,-2.3989289603060056
20.0,0.5851766173446511,-2.327130358636696
21.0,0.5927808103015334,-2.271058639272559
22.0,0.5985029537866909,-2.2293370188230726
23.0,0.6024592663330628,-2.2007231141667862
24.0,0.6047712908053389,-2.1840883348032465
25.0,0.6055636567580511,-2.1784019715239626
26.0,0.6049620283119048,-2.1827188387999383
27.0,0.6030912646662459,-2.1961696191989684
28.0,0.600073811296671,-2.2179532650423606
29.0,0.5960283312933564,-2.2473309624644746
30.0,0.59106857844178,-2.2836212739119324
31.0,0.5853025067335507,-2.3261961588544806
32.0,0.5788316051564995,-2.3744776371345107
33.0,0.5717504419226942,-2.4279349104213503
34.0,0.5641463987655009,-2.486081798364865
35.0,0.5560995735368299,-2.5484743797591842
36.0,0.547682827986238,-2.614708757002692
37.0,0.5389619571958133,-2.684418885479891
38.0,0.5299959575478834,-2.7572744289231075
39.0,0.5208373711730976,-2.832978617824663
40.0,0.5115326864168357,-2.9112661009079406
41.0,0.5021227758279623,-2.9919007898002747
42.0,0.49264335538075965,-3.0746737046266577
43.0,0.48312545096721904,-3.159400833508297
44.0,0.47359586053830927,-3.245921022167813
45.0,0.46407760254336483,-3.334093911296611
46.0,0.45459034344910954,-3.423797939328881
47.0,0.44515079906513333,-3.514928427095692
48.0,0.435773106128868,-3.6073957588011494
49.0,0.42646916209320407,-3.7011236711534745
50.0,0.4172489323096148,-3.7960476595521286
51.0,0.4081207248150275,-3.8921135071982134
52.0,0.39909143372566946,-3.9892759400399695
53.0,0.3901667528353281,-4.087497407727005
54.0,0.3813513614320211,-4.1867469883247495
55.0,0.37264908461095847,-4.286999412495035
56.0,0.36406303049810496,-4.388234201208367
57.0,0.35559570683207065,-4.490434909819048
58.0,0.34724911930517877,-4.593588470486222
59.0,0.33902485395782644,-4.697684624427133
60.0,0.330924145771591,-4.802715435298221
61.0,0.3229479354310192,-4.9086748750659375
62.0,0.3150969160341782,-5.0155584740008194
63.0,0.307371571337714,-5.123363026856497
64.0,0.2997722069309351,-5.232086347834663
65.0,0.29229897555087114,-5.3417270675471995
66.0,0.2849518975800762,-5.452284465834229
67.0,0.27773087761355464,-5.563758334953129
68.0,0.27063571784169127,-5.6761488682973
69.0,0.2636661288727683,-5.789456570418113
70.0,0.2568217385111671,-5.903682184697214
71.0,0.25010209891477697,-6.018826635542609
72.0,0.24350669247634293,-6.1348909824563105
73.0,0.2370349367071244,-6.25187638374284
74.0,0.23068618834588672,-6.369784067997984
75.0,0.22445974687054537,-6.488615311837547
76.0,0.2183548575523384,-6.608371422601102
77.0,0.21237071416203657,-6.729053724998692
78.0,0.2065064614132176,-6.850663550864948
79.0,0.2007611972081076,-6.973202231348077
80.0,0.19513397473597904,-7.096671090996555
81.0,0.18962380446191984,-7.221071443316621
82.0,0.18422965603425245,-7.346404587463786
83.0,0.17895046013150295,-7.47267180580399
84.0,0.17378511026412802,-7.599874362138266
85.0,0.16873246454186186,-7.7280135004310075
86.0,0.1637913474142425,-7.857090443918553
87.0,0.15896055138940202,-7.987106394503339
88.0,0.1542388387343373,-8.118062532361607
89.0,0.1496249431585177,-8.249960015709751
90.0,0.14511757148167492,-8.38279998068798
91.0,0.14071540528589876,-8.516583541330151
92.0,0.13641710255164174,-8.65131178959664
93.0,0.1322212992768853,-8.786985795452756
94.0,0.12812661107846723,-8.923606606980103
95.0,0.12413163477442579,-9.061175250511283
96.0,0.12023494994611783,-9.199692730781079
97.0,0.11643512047882576,-9.33916003108905
98.0,0.11273069607956121,-9.479578113469794
99.0,0.1091202137707793,-9.620947918868366
100.0,0.10560219935876214,-9.763270367318706
