# Wavelength Sweep
# Date: 2026-02-04 20:14:04
# Start: 1480 nm
# Stop: 1600 nm
# Step: 3 nm
# Points: 41
# Duration: 48.0 s
#
wavelength_nm,power_dBm
1480.00,-inf
1483.00,-79.7063
1486.00,-73.6655
1489.00,-82.2905
1492.00,-74.6122
1495.00,-73.5549
1498.00,-77.2081
1501.00,-inf
1504.00,-74.6223
1507.00,-74.0624
1510.00,-78.1235
1513.00,-76.7069
1516.00,-inf
1519.00,-76.0405
1522.00,-inf
1525.00,-inf
1528.00,-inf
1531.00,-75.1197
1534.00,-75.2924
1537.00,-75.1233
1540.00,-inf
1543.00,-89.5538
1546.00,-89.5548
1549.00,-inf
1552.00,-75.6616
1555.00,-70.5780
1558.00,-72.0289
1561.00,-75.2982
1564.00,-inf
1567.00,-72.5527
1570.00,-71.9497
1573.00,-70.6398
1576.00,-73.0440
1579.00,-inf
1582.00,-74.3667
1585.00,-71.4233
1588.00,-67.0202
1591.00,-69.4507
1594.00,-73.8354
1597.00,-inf
1600.00,-72.9332
