# Wavelength Sweep
# Date: 2026-02-04 16:11:48
# Start: 1480 nm
# Stop: 1600 nm
# Step: 3 nm
# Points: 41
# Duration: 47.0 s
#
wavelength_nm,power_dBm
1480.00,-62.6929
1483.00,-62.7839
1486.00,-63.0725
1489.00,-62.4757
1492.00,-62.9638
1495.00,-62.6498
1498.00,-63.3667
1501.00,-62.1677
1504.00,-62.8028
1507.00,-61.8438
1510.00,-61.5703
1513.00,-62.0679
1516.00,-62.8724
1519.00,-61.3119
1522.00,-62.4310
1525.00,-60.7852
1528.00,-61.3472
1531.00,-61.1501
1534.00,-61.6119
1537.00,-59.9634
1540.00,-62.0135
1543.00,-60.4630
1546.00,-62.2856
1549.00,-61.1984
1552.00,-60.8597
1555.00,-60.3182
1558.00,-60.7176
1561.00,-60.4132
1564.00,-60.4821
1567.00,-59.6490
1570.00,-61.3032
1573.00,-59.1792
1576.00,-60.0326
1579.00,-58.7056
1582.00,-59.4083
1585.00,-58.8940
1588.00,-60.2683
1591.00,-60.1593
1594.00,-60.9883
1597.00,-61.1162
1600.00,-61.7184
