# Wavelength Sweep
# Date: 2026-02-05 11:36:14
# Start: 1480 nm
# Stop: 1600 nm
# Step: 3 nm
# Points: 41
# Duration: 46.3 s
#
wavelength_nm,power_dBm
1480.00,-73.0937
1483.00,-78.0998
1486.00,-75.0818
1489.00,-77.2000
1492.00,-79.7151
1495.00,-72.0747
1498.00,-71.3124
1501.00,-78.1164
1504.00,-74.1939
1507.00,-73.3355
1510.00,-71.6875
1513.00,-71.9252
1516.00,-76.0379
1519.00,-79.7379
1522.00,-86.3837
1525.00,-75.6493
1528.00,-74.0800
1531.00,-68.6166
1534.00,-69.8190
1537.00,-72.4558
1540.00,-74.5020
1543.00,-74.8034
1546.00,-77.2423
1549.00,-inf
1552.00,-69.7759
1555.00,-71.1417
1558.00,-72.9382
1561.00,-72.0290
1564.00,-71.4183
1567.00,-76.2714
1570.00,-77.2448
1573.00,-74.0926
1576.00,-76.4971
1579.00,-73.7153
1582.00,-75.3030
1585.00,-73.9654
1588.00,-67.1248
1591.00,-66.5536
1594.00,-68.4425
1597.00,-68.5854
1600.00,-71.1365
