# Wavelength Sweep
# Date: 2026-02-04 17:49:54
# Start: 1480 nm
# Stop: 1600 nm
# Step: 3 nm
# Points: 41
# Duration: 46.2 s
#
wavelength_nm,power_dBm
1480.00,-74.6004
1483.00,-74.6034
1486.00,-77.1971
1489.00,-80.8130
1492.00,-89.5153
1495.00,-81.4948
1498.00,-75.6268
1501.00,-76.6971
1504.00,-74.3321
1507.00,-74.7774
1510.00,-73.6862
1513.00,-72.6225
1516.00,-71.4698
1519.00,-70.6199
1522.00,-70.8674
1525.00,-72.9262
1528.00,-81.5221
1531.00,-inf
1534.00,-76.9726
1537.00,-71.3429
1540.00,-74.9606
1543.00,-71.3456
1546.00,-69.6787
1549.00,-72.1964
1552.00,-80.2710
1555.00,-inf
1558.00,-72.8382
1561.00,-73.2528
1564.00,-75.4765
1567.00,-76.0589
1570.00,-81.5340
1573.00,-inf
1576.00,-inf
1579.00,-83.3205
1582.00,-72.0338
1585.00,-72.7461
1588.00,-inf
1591.00,-73.3670
1594.00,-69.5397
1597.00,-73.2512
1600.00,-89.5501
