# Wavelength Sweep
# Date: 2026-02-04 16:05:06
# Start: 1480 nm
# Stop: 1600 nm
# Step: 3 nm
# Points: 41
# Duration: 47.7 s
#
wavelength_nm,power_dBm
1480.00,-59.0155
1483.00,-60.1279
1486.00,-60.7516
1489.00,-59.8690
1492.00,-60.9988
1495.00,-61.3410
1498.00,-61.0171
1501.00,-61.8154
1504.00,-63.2714
1507.00,-62.3465
1510.00,-63.1783
1513.00,-62.2462
1516.00,-61.5682
1519.00,-61.4322
1522.00,-61.0766
1525.00,-59.2939
1528.00,-58.1409
1531.00,-57.0370
1534.00,-56.3828
1537.00,-57.0172
1540.00,-55.2811
1543.00,-54.9195
1546.00,-54.5752
1549.00,-54.9370
1552.00,-55.1878
1555.00,-54.7045
1558.00,-54.8668
1561.00,-55.6644
1564.00,-57.5499
1567.00,-57.2294
1570.00,-57.5544
1573.00,-58.6587
1576.00,-60.4223
1579.00,-61.7352
1582.00,-59.7728
1585.00,-58.0632
1588.00,-57.0707
1591.00,-56.1701
1594.00,-55.2130
1597.00,-54.8891
1600.00,-54.7161
