# Wavelength Sweep
# Date: 2026-02-04 15:38:10
# Start: 1480 nm
# Stop: 1639 nm
# Step: 1 nm
# Points: 160
# Duration: 181.5 s
#
wavelength_nm,power_dBm
1480.00,-64.0834
1481.00,-62.4769
1482.00,-63.9671
1483.00,-66.1872
1484.00,-66.8905
1485.00,-64.7803
1486.00,-63.1792
1487.00,-62.3560
1488.00,-61.0874
1489.00,-62.8796
1490.00,-63.8726
1491.00,-66.9742
1492.00,-63.6643
1493.00,-62.8733
1494.00,-63.2852
1495.00,-62.7463
1496.00,-62.4364
1497.00,-62.7285
1498.00,-62.3571
1499.00,-62.9392
1500.00,-60.9862
1501.00,-63.3691
1502.00,-63.6129
1503.00,-63.7960
1504.00,-61.1281
1505.00,-61.2376
1506.00,-60.6956
1507.00,-61.6960
1508.00,-61.9084
1509.00,-64.1900
1510.00,-64.0968
1511.00,-61.6010
1512.00,-60.1586
1513.00,-60.7074
1514.00,-62.6941
1515.00,-62.0118
1516.00,-62.9431
1517.00,-61.6212
1518.00,-60.8041
1519.00,-60.3735
1520.00,-61.1015
1521.00,-62.6052
1522.00,-63.3755
1523.00,-62.6447
1524.00,-61.1182
1525.00,-62.2827
1526.00,-64.0972
1527.00,-63.6337
1528.00,-63.6345
1529.00,-63.1302
1530.00,-61.2859
1531.00,-61.3917
1532.00,-62.9966
1533.00,-65.1449
1534.00,-64.2923
1535.00,-62.2983
1536.00,-62.8477
1537.00,-61.7270
1538.00,-61.4458
1539.00,-63.0523
1540.00,-65.5359
1541.00,-63.6780
1542.00,-61.5419
1543.00,-60.4231
1544.00,-60.9664
1545.00,-62.7926
1546.00,-61.5433
1547.00,-60.6752
1548.00,-60.8407
1549.00,-60.1182
1550.00,-59.8969
1551.00,-62.6209
1552.00,-62.9732
1553.00,-60.8785
1554.00,-60.1235
1555.00,-58.9527
1556.00,-58.3185
1557.00,-61.2187
1558.00,-62.1998
1559.00,-62.0077
1560.00,-60.5045
1561.00,-59.9879
1562.00,-58.7169
1563.00,-59.7199
1564.00,-61.7701
1565.00,-62.6307
1566.00,-62.2093
1567.00,-61.7171
1568.00,-60.4431
1569.00,-60.3924
1570.00,-61.5385
1571.00,-63.7550
1572.00,-62.4572
1573.00,-60.0475
1574.00,-60.6965
1575.00,-61.5616
1576.00,-63.4957
1577.00,-63.6838
1578.00,-63.4732
1579.00,-61.3261
1580.00,-59.4123
1581.00,-59.9415
1582.00,-61.4614
1583.00,-62.5604
1584.00,-61.8450
1585.00,-59.5735
1586.00,-58.7838
1587.00,-59.0395
1588.00,-58.4368
1589.00,-59.2501
1590.00,-60.7286
1591.00,-59.3718
1592.00,-58.6441
1593.00,-56.6898
1594.00,-57.9169
1595.00,-57.7384
1596.00,-59.9569
1597.00,-58.5243
1598.00,-57.6954
1599.00,-57.3343
1600.00,-57.9743
1601.00,-59.2302
1602.00,-60.7286
1603.00,-62.3832
1604.00,-59.6098
1605.00,-59.1233
1606.00,-58.0785
1607.00,-59.1376
1608.00,-62.2022
1609.00,-63.1127
1610.00,-62.5104
1611.00,-59.9999
1612.00,-58.8480
1613.00,-59.1160
1614.00,-60.3835
1615.00,-62.3128
1616.00,-62.7266
1617.00,-59.6372
1618.00,-59.1876
1619.00,-58.3340
1620.00,-59.0317
1621.00,-59.6292
1622.00,-60.0260
1623.00,-59.3306
1624.00,-56.9621
1625.00,-56.7732
1626.00,-57.5370
1627.00,-58.0047
1628.00,-59.7901
1629.00,-57.8808
1630.00,-57.4328
1631.00,-56.7763
1632.00,-56.9311
1633.00,-58.6062
1634.00,-59.8995
1635.00,-59.1502
1636.00,-58.3621
1637.00,-57.8704
1638.00,-56.0678
1639.00,-57.5682
