# Wavelength Sweep
# Date: 2026-02-04 19:44:20
# Start: 1480 nm
# Stop: 1600 nm
# Step: 3 nm
# Points: 41
# Duration: 46.3 s
#
wavelength_nm,power_dBm
1480.00,-70.0274
1483.00,-71.0929
1486.00,-78.4522
1489.00,-75.4332
1492.00,-inf
1495.00,-74.9260
1498.00,-79.2597
1501.00,-76.4615
1504.00,-73.1156
1507.00,-72.9108
1510.00,-78.8528
1513.00,-74.7824
1516.00,-inf
1519.00,-73.5749
1522.00,-75.6468
1525.00,-86.3862
1528.00,-74.3520
1531.00,-inf
1534.00,-78.4921
1537.00,-73.2487
1540.00,-73.5895
1543.00,-70.5182
1546.00,-71.0094
1549.00,-74.3620
1552.00,-80.8560
1555.00,-79.2944
1558.00,-73.7112
1561.00,-71.0099
1564.00,-69.6321
1567.00,-73.2541
1570.00,-78.8800
1573.00,-74.5073
1576.00,-69.2727
1579.00,-69.1029
1582.00,-73.3678
1585.00,-89.5608
1588.00,-84.5947
1591.00,-71.4936
1594.00,-70.0285
1597.00,-71.0737
1600.00,-78.4928
