# Wavelength Sweep
# Date: 2026-02-04 18:18:40
# Start: 1480 nm
# Stop: 1600 nm
# Step: 3 nm
# Points: 41
# Duration: 46.2 s
#
wavelength_nm,power_dBm
1480.00,-66.7860
1483.00,-69.6304
1486.00,-75.4303
1489.00,-69.2265
1492.00,-68.4371
1495.00,-72.2452
1498.00,-70.7848
1501.00,-68.6297
1504.00,-67.7158
1507.00,-68.5226
1510.00,-69.3766
1513.00,-71.3953
1516.00,-69.9049
1519.00,-72.0947
1522.00,-73.9453
1525.00,-74.4925
1528.00,-74.2139
1531.00,-73.2451
1534.00,-72.2766
1537.00,-71.0711
1540.00,-73.9573
1543.00,-80.8543
1546.00,-75.6609
1549.00,-70.2938
1552.00,-72.3704
1555.00,-69.0161
1558.00,-72.8382
1561.00,-73.5920
1564.00,-71.2095
1567.00,-75.8562
1570.00,-68.8178
1573.00,-66.7180
1576.00,-67.9366
1579.00,-67.3691
1582.00,-65.8483
1585.00,-66.5551
1588.00,-66.0507
1591.00,-65.6356
1594.00,-64.6600
1597.00,-64.1070
1600.00,-64.2517
