# Wavelength Sweep
# Date: 2026-02-04 19:49:25
# Start: 1480 nm
# Stop: 1600 nm
# Step: 3 nm
# Points: 41
# Duration: 46.1 s
#
wavelength_nm,power_dBm
1480.00,-76.4420
1483.00,-79.2457
1486.00,-inf
1489.00,-inf
1492.00,-80.2309
1495.00,-73.1082
1498.00,-78.4633
1501.00,-inf
1504.00,-84.5597
1507.00,-74.4771
1510.00,-73.6862
1513.00,-72.0066
1516.00,-74.7851
1519.00,-inf
1522.00,-73.5774
1525.00,-78.8658
1528.00,-78.4881
1531.00,-78.4902
1534.00,-77.2370
1537.00,-78.1444
1540.00,-78.1460
1543.00,-73.9585
1546.00,-75.4755
1549.00,-70.4053
1552.00,-76.7295
1555.00,-79.7551
1558.00,-inf
1561.00,-71.4177
1564.00,-86.3988
1567.00,-72.1131
1570.00,-75.1295
1573.00,-75.4787
1576.00,-80.2742
1579.00,-75.8591
1582.00,-73.4808
1585.00,-inf
1588.00,-72.8434
1591.00,-68.8198
1594.00,-67.8088
1597.00,-69.7255
1600.00,-76.9734
