# Wavelength Sweep
# Date: 2026-02-05 11:22:34
# Start: 1480 nm
# Stop: 1600 nm
# Step: 3 nm
# Points: 41
# Duration: 46.3 s
#
wavelength_nm,power_dBm
1480.00,-77.1910
1483.00,-84.5408
1486.00,-inf
1489.00,-71.8252
1492.00,-70.9700
1495.00,-69.7385
1498.00,-71.7549
1501.00,-78.4658
1504.00,-86.3685
1507.00,-74.6247
1510.00,-72.2573
1513.00,-70.3828
1516.00,-68.7184
1519.00,-64.6715
1522.00,-63.8244
1525.00,-63.3222
1528.00,-63.4027
1531.00,-65.1944
1534.00,-65.9578
1537.00,-68.0259
1540.00,-72.2798
1543.00,-73.1440
1546.00,-73.2524
1549.00,-70.5780
1552.00,-70.6972
1555.00,-70.0271
1558.00,-69.3570
1561.00,-73.5920
1564.00,-inf
1567.00,-86.3995
1570.00,-71.2111
1573.00,-68.8578
1576.00,-68.4443
1579.00,-67.1238
1582.00,-66.9941
1585.00,-66.5088
1588.00,-69.3622
1591.00,-69.8785
1594.00,-69.6332
1597.00,-67.9315
1600.00,-67.0620
