# Wavelength Sweep
# Date: 2026-02-04 18:43:41
# Start: 1480 nm
# Stop: 1600 nm
# Step: 3 nm
# Points: 41
# Duration: 46.3 s
#
wavelength_nm,power_dBm
1480.00,-72.3185
1483.00,-81.4832
1486.00,-80.8101
1489.00,-76.6866
1492.00,-inf
1495.00,-77.4870
1498.00,-70.8474
1501.00,-70.6049
1504.00,-74.6223
1507.00,-78.4705
1510.00,-83.2914
1513.00,-74.9407
1516.00,-73.1256
1519.00,-73.6941
1522.00,-71.4032
1525.00,-68.9632
1528.00,-75.8452
1531.00,-76.4860
1534.00,-73.2470
1537.00,-70.2896
1540.00,-68.6973
1543.00,-68.7367
1546.00,-69.9243
1549.00,-71.7127
1552.00,-71.4898
1555.00,-68.1966
1558.00,-69.0572
1561.00,-69.7757
1564.00,-72.1968
1567.00,-77.8264
1570.00,-77.8272
1573.00,-68.9376
1576.00,-69.4501
1579.00,-68.5541
1582.00,-69.2308
1585.00,-68.9808
1588.00,-66.7690
1591.00,-67.0711
1594.00,-67.7166
1597.00,-68.6603
1600.00,-68.3646
