# Wavelength Sweep
# Date: 2026-02-04 16:52:15
# Start: 1480 nm
# Stop: 1600 nm
# Step: 3 nm
# Points: 41
# Duration: 46.1 s
#
wavelength_nm,power_dBm
1480.00,-57.3680
1483.00,-57.0828
1486.00,-57.5834
1489.00,-56.7246
1492.00,-57.0730
1495.00,-56.2804
1498.00,-56.7473
1501.00,-56.3185
1504.00,-55.3629
1507.00,-56.6194
1510.00,-55.4195
1513.00,-55.2717
1516.00,-56.9321
1519.00,-55.2148
1522.00,-54.7280
1525.00,-57.5198
1528.00,-56.3209
1531.00,-56.3719
1534.00,-56.6434
1537.00,-57.2186
1540.00,-56.8436
1543.00,-57.7577
1546.00,-55.8085
1549.00,-57.4057
1552.00,-55.5138
1555.00,-56.3574
1558.00,-55.8285
1561.00,-56.3462
1564.00,-55.9185
1567.00,-56.2532
1570.00,-54.3313
1573.00,-56.1455
1576.00,-54.9805
1579.00,-56.3504
1582.00,-56.8336
1585.00,-55.4990
1588.00,-54.5470
1591.00,-55.2877
1594.00,-53.0325
1597.00,-52.4336
1600.00,-53.7166
