# Wavelength Sweep
# Date: 2026-02-04 17:59:56
# Start: 1480 nm
# Stop: 1600 nm
# Step: 3 nm
# Points: 41
# Duration: 46.3 s
#
wavelength_nm,power_dBm
1480.00,-59.3563
1483.00,-62.0333
1486.00,-62.0280
1489.00,-60.6750
1492.00,-59.4268
1495.00,-58.8275
1498.00,-60.6049
1501.00,-61.3038
1504.00,-60.7245
1507.00,-59.6777
1510.00,-60.6205
1513.00,-61.1020
1516.00,-60.3878
1519.00,-57.9882
1522.00,-59.2783
1525.00,-59.5933
1528.00,-59.7290
1531.00,-58.4347
1534.00,-58.9388
1537.00,-59.1554
1540.00,-59.0481
1543.00,-58.4088
1546.00,-57.0651
1549.00,-57.9474
1552.00,-59.8768
1555.00,-56.5926
1558.00,-56.1152
1561.00,-58.8331
1564.00,-59.1515
1567.00,-57.8503
1570.00,-57.8480
1573.00,-57.9951
1576.00,-59.2184
1579.00,-59.1763
1582.00,-56.6588
1585.00,-57.4252
1588.00,-58.4836
1591.00,-57.5243
1594.00,-56.4104
1597.00,-56.0573
1600.00,-57.9390
