# Wavelength Sweep
# Date: 2026-02-04 18:14:53
# Start: 1480 nm
# Stop: 1600 nm
# Step: 3 nm
# Points: 41
# Duration: 46.3 s
#
wavelength_nm,power_dBm
1480.00,-73.5403
1483.00,-inf
1486.00,-inf
1489.00,-inf
1492.00,-74.3220
1495.00,-74.7677
1498.00,-71.0406
1501.00,-74.6199
1504.00,-76.6995
1507.00,-72.0844
1510.00,-78.8528
1513.00,-74.2013
1516.00,-73.6914
1519.00,-76.4765
1522.00,-74.2091
1525.00,-72.8262
1528.00,-89.5454
1531.00,-71.2698
1534.00,-68.1908
1537.00,-70.2349
1540.00,-72.0264
1543.00,-74.9617
1546.00,-inf
1549.00,-inf
1552.00,-80.8560
1555.00,-73.4761
1558.00,-73.9598
1561.00,-72.5514
1564.00,-71.2780
1567.00,-69.6804
1570.00,-69.2713
1573.00,-69.6344
1576.00,-69.6825
1579.00,-68.4093
1582.00,-66.7931
1585.00,-66.6967
1588.00,-68.7050
1591.00,-68.7808
1594.00,-69.0176
1597.00,-69.5831
1600.00,-73.4709
