# Wavelength Sweep
# Date: 2026-02-04 18:40:16
# Start: 1480 nm
# Stop: 1600 nm
# Step: 3 nm
# Points: 41
# Duration: 46.3 s
#
wavelength_nm,power_dBm
1480.00,-70.0274
1483.00,-72.9919
1486.00,-71.9020
1489.00,-inf
1492.00,-76.0177
1495.00,-72.4227
1498.00,-70.3705
1501.00,-72.9061
1504.00,-inf
1507.00,-inf
1510.00,-78.4729
1513.00,-72.8159
1516.00,-70.2739
1519.00,-69.5210
1522.00,-68.4263
1525.00,-69.1711
1528.00,-67.7973
1531.00,-65.9559
1534.00,-65.2478
1537.00,-65.8592
1540.00,-66.7369
1543.00,-68.4756
1546.00,-70.0265
1549.00,-69.0989
1552.00,-73.8340
1555.00,-80.2709
1558.00,-72.8382
1561.00,-68.7768
1564.00,-67.5662
1567.00,-66.7651
1570.00,-67.5678
1573.00,-69.9783
1576.00,-69.6825
1579.00,-72.9424
1582.00,-74.9680
1585.00,-71.5682
1588.00,-68.0352
1591.00,-66.9677
1594.00,-68.8567
1597.00,-68.5117
1600.00,-69.8694
