# Wavelength Sweep
# Date: 2026-01-30 17:30:00
# Start: 1480 nm
# Stop: 1639 nm
# Step: 0.25 nm
# Points: 637
# Duration: 788.0 s
#
wavelength_nm,power_dBm
1480.00,-60.0581
1480.25,-60.2653
1480.50,-59.6735
1480.75,-59.6788
1481.00,-60.2088
1481.25,-59.9050
1481.50,-60.8407
1481.75,-60.3102
1482.00,-60.7140
1482.25,-60.1996
1482.50,-60.1543
1482.75,-61.0472
1483.00,-60.8421
1483.25,-60.6984
1483.50,-60.5848
1483.75,-60.3519
1484.00,-59.6616
1484.25,-59.6296
1484.50,-59.3953
1484.75,-59.9939
1485.00,-59.7815
1485.25,-59.4720
1485.50,-59.6949
1485.75,-59.4199
1486.00,-59.6049
1486.25,-58.6803
1486.50,-59.3883
1486.75,-60.0416
1487.00,-59.9247
1487.25,-59.5817
1487.50,-60.0637
1487.75,-59.1141
1488.00,-59.9318
1488.25,-59.9755
1488.50,-60.5254
1488.75,-60.2906
1489.00,-60.7066
1489.25,-60.4010
1489.50,-60.8348
1489.75,-60.5491
1490.00,-60.4458
1490.25,-61.0815
1490.50,-60.6002
1490.75,-60.6257
1491.00,-61.1493
1491.25,-59.7360
1491.50,-60.0318
1491.75,-60.1086
1492.00,-60.3381
1492.25,-60.3338
1492.50,-60.8350
1492.75,-60.0795
1493.00,-60.5630
1493.25,-60.3904
1493.50,-60.2163
1493.75,-60.1053
1494.00,-59.6453
1494.25,-59.8306
1494.50,-59.6243
1494.75,-59.2925
1495.00,-59.9216
1495.25,-59.2501
1495.50,-59.5923
1495.75,-59.1987
1496.00,-58.9916
1496.25,-59.0364
1496.50,-58.9350
1496.75,-59.0846
1497.00,-59.4108
1497.25,-58.9272
1497.50,-59.0375
1497.75,-59.8536
1498.00,-59.3619
1498.25,-59.5242
1498.50,-59.1857
1498.75,-59.0442
1499.00,-59.4313
1499.25,-59.2393
1499.50,-59.6705
1499.75,-60.0419
1500.00,-59.6653
1500.25,-59.7372
1500.50,-59.2381
1500.75,-59.2927
1501.00,-60.2616
1501.25,-59.1937
1501.50,-59.5296
1501.75,-59.4289
1502.00,-59.1045
1502.25,-58.8476
1502.50,-59.0273
1502.75,-58.8836
1503.00,-59.4921
1503.25,-58.6949
1503.50,-59.1709
1503.75,-59.0625
1504.00,-58.4388
1504.25,-58.7512
1504.50,-58.5297
1504.75,-58.5419
1505.00,-59.4833
1505.25,-58.3990
1505.50,-58.8980
1505.75,-59.0011
1506.00,-58.5029
1506.25,-58.8781
1506.50,-59.1524
1506.75,-58.8722
1507.00,-59.7194
1507.25,-58.8964
1507.50,-58.8863
1507.75,-59.4957
1508.00,-58.9097
1508.25,-59.6963
1508.50,-58.1542
1508.75,-59.8535
1509.00,-59.7669
1509.25,-59.1292
1509.50,-59.7883
1509.75,-59.1233
1510.00,-58.3233
1510.25,-59.1461
1510.50,-58.8253
1510.75,-58.9468
1511.00,-58.8467
1511.25,-58.5111
1511.50,-59.3749
1511.75,-57.7384
1512.00,-58.3893
1512.25,-59.1737
1512.50,-58.0579
1512.75,-59.3430
1513.00,-58.7256
1513.25,-58.7421
1513.50,-58.9933
1513.75,-58.7379
1514.00,-59.3999
1514.25,-58.8981
1514.50,-58.9076
1514.75,-59.6813
1515.00,-58.4284
1515.25,-59.4084
1515.50,-59.4221
1515.75,-59.3489
1516.00,-59.3027
1516.25,-59.1888
1516.50,-59.8690
1516.75,-59.8726
1517.00,-58.7986
1517.25,-59.5362
1517.50,-58.7861
1517.75,-59.4967
1518.00,-59.9646
1518.25,-58.8005
1518.50,-60.1292
1518.75,-59.7496
1519.00,-59.1915
1519.25,-59.4525
1519.50,-58.8917
1519.75,-59.9736
1520.00,-59.6587
1520.25,-58.9071
1520.50,-59.6793
1520.75,-59.5152
1521.00,-59.5640
1521.25,-59.1104
1521.50,-59.1464
1521.75,-59.7068
1522.00,-59.3421
1522.25,-59.1331
1522.50,-59.4186
1522.75,-58.7395
1523.00,-59.1989
1523.25,-59.0439
1523.50,-59.2607
1523.75,-59.3621
1524.00,-59.6604
1524.25,-60.2591
1524.50,-59.6372
1524.75,-60.2735
1525.00,-59.9715
1525.25,-59.6220
1525.50,-60.2782
1525.75,-59.7258
1526.00,-60.2541
1526.25,-59.9511
1526.50,-59.3727
1526.75,-60.1497
1527.00,-59.8543
1527.25,-60.0571
1527.50,-59.7753
1527.75,-59.8584
1528.00,-59.7562
1528.25,-59.4967
1528.50,-59.6160
1528.75,-59.9574
1529.00,-60.1622
