# Wavelength Sweep
# Date: 2026-02-05 10:42:19
# Start: 1480 nm
# Stop: 1600 nm
# Step: 3 nm
# Points: 41
# Duration: 46.4 s
#
wavelength_nm,power_dBm
1480.00,-53.9748
1483.00,-54.5625
1486.00,-55.6435
1489.00,-54.3908
1492.00,-55.9388
1495.00,-56.4925
1498.00,-56.1378
1501.00,-56.1445
1504.00,-57.6082
1507.00,-57.3331
1510.00,-56.6624
1513.00,-56.7327
1516.00,-57.1356
1519.00,-58.1403
1522.00,-56.6180
1525.00,-55.3117
1528.00,-55.2913
1531.00,-54.9036
1534.00,-53.1361
1537.00,-53.8379
1540.00,-52.2164
1543.00,-52.0150
1546.00,-50.7835
1549.00,-50.5410
1552.00,-50.6526
1555.00,-50.2618
1558.00,-49.6031
1561.00,-50.0309
1564.00,-50.9343
1567.00,-51.6598
1570.00,-51.4820
1573.00,-51.0079
1576.00,-50.8047
1579.00,-51.9226
1582.00,-51.9058
1585.00,-53.6982
1588.00,-55.2388
1591.00,-54.0973
1594.00,-54.7733
1597.00,-53.4511
1600.00,-53.1019
