# Wavelength Sweep
# Date: 2026-02-04 16:21:36
# Start: 1480 nm
# Stop: 1600 nm
# Step: 3 nm
# Points: 41
# Duration: 46.7 s
#
wavelength_nm,power_dBm
1480.00,-inf
1483.00,-71.8192
1486.00,-72.7926
1489.00,-80.2281
1492.00,-73.3230
1495.00,-75.4388
1498.00,-89.5206
1501.00,-89.5231
1504.00,-73.4462
1507.00,-75.8276
1510.00,-83.2914
1513.00,-73.5696
1516.00,-75.1077
1519.00,-inf
1522.00,-76.9639
1525.00,-75.6493
1528.00,-84.5797
1531.00,-84.5818
1534.00,-72.9325
1537.00,-86.3941
1540.00,-84.5870
1543.00,-79.7536
1546.00,-inf
1549.00,-81.5320
1552.00,-86.3985
1555.00,-77.8252
1558.00,-89.5552
1561.00,-79.7550
1564.00,-75.1280
1567.00,-74.6533
1570.00,-inf
1573.00,-75.3010
1576.00,-72.5549
1579.00,-76.4978
1582.00,-76.2750
1585.00,-74.6576
1588.00,-77.5293
1591.00,-76.4977
1594.00,-inf
1597.00,-73.2512
1600.00,-72.2773
