# Wavelength Sweep
# Date: 2026-02-04 16:39:45
# Start: 1480 nm
# Stop: 1600 nm
# Step: 3 nm
# Points: 41
# Duration: 48.5 s
#
wavelength_nm,power_dBm
1480.00,-82.2815
1483.00,-78.8292
1486.00,-76.9328
1489.00,-74.9204
1492.00,-77.2029
1495.00,-79.2572
1498.00,-78.1139
1501.00,-84.5574
1504.00,-inf
1507.00,-inf
1510.00,-inf
1513.00,-78.8555
1516.00,-77.2230
1519.00,-80.2537
1522.00,-77.8106
1525.00,-79.7430
1528.00,-79.2845
1531.00,-inf
1534.00,-79.2886
1537.00,-inf
1540.00,-80.8532
1543.00,-inf
1546.00,-76.7288
1549.00,-78.4980
1552.00,-78.8781
1555.00,-inf
1558.00,-84.5895
1561.00,-77.8251
1564.00,-80.8563
1567.00,-inf
1570.00,-inf
1573.00,-inf
1576.00,-76.2736
1579.00,-inf
1582.00,-inf
1585.00,-79.7605
1588.00,-79.2995
1591.00,-81.5360
1594.00,-80.8573
1597.00,-79.2928
1600.00,-80.8507
