# Wavelength Sweep
# Date: 2026-02-04 17:08:09
# Start: 1480 nm
# Stop: 1600 nm
# Step: 3 nm
# Points: 41
# Duration: 46.6 s
#
wavelength_nm,power_dBm
1480.00,-82.2815
1483.00,-inf
1486.00,-inf
1489.00,-84.5468
1492.00,-79.2545
1495.00,-79.7179
1498.00,-inf
1501.00,-79.7229
1504.00,-inf
1507.00,-inf
1510.00,-inf
1513.00,-inf
1516.00,-inf
1519.00,-inf
1522.00,-86.3837
1525.00,-83.3044
1528.00,-84.5797
1531.00,-inf
1534.00,-89.5494
1537.00,-inf
1540.00,-inf
1543.00,-inf
1546.00,-82.3327
1549.00,-89.5553
1552.00,-84.5897
1555.00,-79.7551
1558.00,-inf
1561.00,-inf
1564.00,-81.5324
1567.00,-83.3177
1570.00,-77.2448
1573.00,-77.8279
1576.00,-78.8813
1579.00,-inf
1582.00,-inf
1585.00,-86.4038
1588.00,-80.8609
1591.00,-77.2468
1594.00,-78.8795
1597.00,-inf
1600.00,-89.5501
