# Wavelength Sweep
# Date: 2026-02-04 18:06:45
# Start: 1480 nm
# Stop: 1600 nm
# Step: 3 nm
# Points: 41
# Duration: 46.3 s
#
wavelength_nm,power_dBm
1480.00,-77.4725
1483.00,-77.1941
1486.00,-70.7738
1489.00,-73.2101
1492.00,-73.2129
1495.00,-73.5549
1498.00,-69.8398
1501.00,-68.3375
1504.00,-66.8079
1507.00,-67.9378
1510.00,-66.6184
1513.00,-70.8596
1516.00,-76.7095
1519.00,-70.6199
1522.00,-70.4474
1525.00,-72.5394
1528.00,-69.2162
1531.00,-71.8602
1534.00,-72.1060
1537.00,-75.4718
1540.00,-77.8226
1543.00,-78.8765
1546.00,-75.4755
1549.00,-71.1417
1552.00,-71.0101
1555.00,-70.0271
1558.00,-70.7577
1561.00,-70.5779
1564.00,-69.4927
1567.00,-70.8207
1570.00,-70.4073
1573.00,-74.6549
1576.00,-78.1520
1579.00,-70.9496
1582.00,-75.4807
1585.00,-73.7168
1588.00,-71.1468
1591.00,-67.9053
1594.00,-68.3361
1597.00,-67.3077
1600.00,-67.5314
