# Wavelength Sweep
# Date: 2026-02-05 11:29:48
# Start: 1480 nm
# Stop: 1600 nm
# Step: 3 nm
# Points: 41
# Duration: 46.2 s
#
wavelength_nm,power_dBm
1480.00,-68.2133
1483.00,-69.0501
1486.00,-72.6949
1489.00,-72.0691
1492.00,-inf
1495.00,-73.3258
1498.00,-71.3124
1501.00,-71.9968
1504.00,-75.8252
1507.00,-71.8405
1510.00,-76.0326
1513.00,-78.1261
1516.00,-80.8360
1519.00,-74.9460
1522.00,-76.7147
1525.00,-76.9664
1528.00,-73.0308
1531.00,-67.1922
1534.00,-67.0352
1537.00,-69.3975
1540.00,-70.0765
1543.00,-75.1260
1546.00,-71.0094
1549.00,-69.9248
1552.00,-71.9479
1555.00,-69.5382
1558.00,-72.0289
1561.00,-70.6970
1564.00,-72.9388
1567.00,-73.4773
1570.00,-75.4780
1573.00,-74.0926
1576.00,-68.9382
1579.00,-66.5769
1582.00,-68.3044
1585.00,-68.9003
1588.00,-68.3047
1591.00,-66.3716
1594.00,-66.7411
1597.00,-67.3915
1600.00,-68.6192
