# Wavelength Sweep
# Date: 2026-02-05 11:32:17
# Start: 1480 nm
# Stop: 1600 nm
# Step: 3 nm
# Points: 41
# Duration: 46.2 s
#
wavelength_nm,power_dBm
1480.00,-75.6097
1483.00,-73.7851
1486.00,-79.2487
1489.00,-75.6187
1492.00,-73.1055
1495.00,-72.5143
1498.00,-70.3145
1501.00,-71.3149
1504.00,-70.9801
1507.00,-73.1180
1510.00,-inf
1513.00,-76.9560
1516.00,-72.7208
1519.00,-69.2958
1522.00,-70.6225
1525.00,-70.4499
1528.00,-70.8722
1531.00,-72.7328
1534.00,-72.5456
1537.00,-68.1250
1540.00,-68.9727
1543.00,-67.5643
1546.00,-65.8827
1549.00,-69.3130
1552.00,-70.1319
1555.00,-70.4053
1558.00,-68.3344
1561.00,-68.4770
1564.00,-69.9761
1567.00,-68.5146
1570.00,-67.4234
1573.00,-67.0437
1576.00,-68.2341
1579.00,-71.8720
1582.00,-74.2285
1585.00,-75.8605
1588.00,-69.6367
1591.00,-69.4057
1594.00,-67.4229
1597.00,-67.0655
1600.00,-68.4001
