# Wavelength Sweep
# Date: 2026-02-04 17:55:30
# Start: 1480 nm
# Stop: 1600 nm
# Step: 3 nm
# Points: 41
# Duration: 46.4 s
#
wavelength_nm,power_dBm
1480.00,-58.5592
1483.00,-59.6805
1486.00,-59.0549
1489.00,-60.0020
1492.00,-62.2987
1495.00,-61.3410
1498.00,-62.0557
1501.00,-62.0085
1504.00,-62.1871
1507.00,-62.1895
1510.00,-62.7976
1513.00,-60.6231
1516.00,-63.9712
1519.00,-60.0380
1522.00,-62.2714
1525.00,-59.3159
1528.00,-59.3181
1531.00,-57.5710
1534.00,-57.7841
1537.00,-56.0486
1540.00,-57.4916
1543.00,-54.3069
1546.00,-56.0584
1549.00,-55.5931
1552.00,-55.6779
1555.00,-55.1639
1558.00,-56.3997
1561.00,-54.9385
1564.00,-56.4933
1567.00,-54.8118
1570.00,-55.6874
1573.00,-55.8728
1576.00,-56.1588
1579.00,-55.2705
1582.00,-57.2959
1585.00,-55.6492
1588.00,-56.5417
1591.00,-55.9950
1594.00,-55.3219
1597.00,-55.4268
1600.00,-54.2783
