# Wavelength Sweep
# Date: 2026-02-04 16:59:11
# Start: 1480 nm
# Stop: 1600 nm
# Step: 3 nm
# Points: 41
# Duration: 47.9 s
#
wavelength_nm,power_dBm
1480.00,-inf
1483.00,-73.5433
1486.00,-74.7592
1489.00,-89.5125
1492.00,-76.9386
1495.00,-74.4674
1498.00,-71.7549
1501.00,-70.4298
1504.00,-71.5329
1507.00,-75.8276
1510.00,-73.6862
1513.00,-69.2036
1516.00,-71.1219
1519.00,-72.8211
1522.00,-75.8404
1525.00,-74.6400
1528.00,-71.7797
1531.00,-71.6293
1534.00,-72.4541
1537.00,-73.7071
1540.00,-73.9573
1543.00,-75.6600
1546.00,-78.4975
1549.00,-75.8551
1552.00,-74.3621
1555.00,-72.5515
1558.00,-72.2823
1561.00,-75.8550
1564.00,-inf
1567.00,-inf
1570.00,-77.8272
1573.00,-75.3010
1576.00,-76.4971
1579.00,-75.4800
1582.00,-77.2476
1585.00,-73.0461
1588.00,-75.3033
1591.00,-73.5961
1594.00,-72.5530
1597.00,-70.0254
1600.00,-71.3420
