# Wavelength Sweep
# Date: 2026-02-05 11:11:03
# Start: 1480 nm
# Stop: 1600 nm
# Step: 3 nm
# Points: 41
# Duration: 47.0 s
#
wavelength_nm,power_dBm
1480.00,-77.4725
1483.00,-73.4273
1486.00,-71.6669
1489.00,-69.8820
1492.00,-72.7984
1495.00,-76.6921
1498.00,-78.4633
1501.00,-75.6292
1504.00,-72.8085
1507.00,-74.0624
1510.00,-74.6270
1513.00,-76.2478
1516.00,-78.4781
1519.00,-71.1919
1522.00,-67.9506
1525.00,-69.7636
1528.00,-69.2594
1531.00,-69.7680
1534.00,-70.5138
1537.00,-73.9558
1540.00,-86.3957
1543.00,-74.6507
1546.00,-77.5237
1549.00,-74.0899
1552.00,-69.9757
1555.00,-72.7406
1558.00,-79.7550
1561.00,-72.4599
1564.00,-71.0758
1567.00,-74.2249
1570.00,-73.9620
1573.00,-70.4079
1576.00,-69.6825
1579.00,-68.5541
1582.00,-68.4818
1585.00,-70.0846
1588.00,-71.8730
1591.00,-70.1891
1594.00,-67.5673
1597.00,-67.3354
1600.00,-67.1679
