# Wavelength Sweep
# Date: 2026-02-04 16:44:44
# Start: 1480 nm
# Stop: 1600 nm
# Step: 3 nm
# Points: 41
# Duration: 48.5 s
#
wavelength_nm,power_dBm
1480.00,-79.2427
1483.00,-74.6034
1486.00,-82.2875
1489.00,-78.4552
1492.00,-77.7853
1495.00,-84.5524
1498.00,-inf
1501.00,-inf
1504.00,-inf
1507.00,-74.9357
1510.00,-inf
1513.00,-inf
1516.00,-83.2966
1519.00,-82.3160
1522.00,-78.1339
1525.00,-75.2861
1528.00,-86.3884
1531.00,-79.2867
1534.00,-inf
1537.00,-82.3290
1540.00,-inf
1543.00,-inf
1546.00,-81.5315
1549.00,-78.4980
1552.00,-80.8560
1555.00,-inf
1558.00,-86.3982
1561.00,-79.2944
1564.00,-83.3169
1567.00,-inf
1570.00,-86.4003
1573.00,-inf
1576.00,-inf
1579.00,-75.4800
1582.00,-77.5290
1585.00,-77.8307
1588.00,-inf
1591.00,-inf
1594.00,-77.2443
1597.00,-73.8322
1600.00,-78.4928
