# Wavelength Sweep
# Date: 2026-02-04 18:27:22
# Start: 1480 nm
# Stop: 1600 nm
# Step: 3 nm
# Points: 41
# Duration: 46.6 s
#
wavelength_nm,power_dBm
1480.00,-76.9267
1483.00,-73.4273
1486.00,-70.8998
1489.00,-73.4333
1492.00,-73.5521
1495.00,-80.8186
1498.00,-80.8211
1501.00,-70.9133
1504.00,-70.0493
1507.00,-73.6838
1510.00,-72.2573
1513.00,-68.1741
1516.00,-64.0492
1519.00,-65.4123
1522.00,-66.4658
1525.00,-66.1808
1528.00,-68.9654
1531.00,-66.9815
1534.00,-70.1793
1537.00,-67.9934
1540.00,-68.2624
1543.00,-68.8933
1546.00,-70.4047
1549.00,-74.5047
1552.00,-77.2430
1555.00,-86.3983
1558.00,-71.3470
1561.00,-68.1965
1564.00,-68.3702
1567.00,-68.9361
1570.00,-70.4073
1573.00,-70.8222
1576.00,-72.7440
1579.00,-70.4661
1582.00,-66.3501
1585.00,-67.9386
1588.00,-69.3180
1591.00,-68.3385
1594.00,-67.8713
1597.00,-67.4483
1600.00,-71.4126
