# Wavelength Sweep
# Date: 2026-02-04 19:10:58
# Start: 1480 nm
# Stop: 1600 nm
# Step: 3 nm
# Points: 41
# Duration: 46.5 s
#
wavelength_nm,power_dBm
1480.00,-inf
1483.00,-inf
1486.00,-inf
1489.00,-83.2737
1492.00,-74.1838
1495.00,-82.2960
1498.00,-77.7905
1501.00,-inf
1504.00,-83.2866
1507.00,-76.4663
1510.00,-84.5645
1513.00,-76.9560
1516.00,-77.2230
1519.00,-76.9613
1522.00,-74.7903
1525.00,-76.4816
1528.00,-inf
1531.00,-inf
1534.00,-75.1216
1537.00,-75.8509
1540.00,-75.2956
1543.00,-73.5906
1546.00,-75.6609
1549.00,-78.4980
1552.00,-74.6523
1555.00,-74.5046
1558.00,-inf
1561.00,-73.1454
1564.00,-inf
1567.00,-inf
1570.00,-71.1437
1573.00,-78.5007
1576.00,-78.1520
1579.00,-72.0331
1582.00,-77.8300
1585.00,-79.2999
1588.00,-78.5030
1591.00,-78.5020
1594.00,-77.8267
1597.00,-73.1438
1600.00,-75.4708
