# Wavelength Sweep
# Date: 2026-02-05 10:55:54
# Start: 1480 nm
# Stop: 1600 nm
# Step: 3 nm
# Points: 41
# Duration: 46.8 s
#
wavelength_nm,power_dBm
1480.00,-54.9972
1483.00,-57.0642
1486.00,-56.8329
1489.00,-56.8460
1492.00,-55.6703
1495.00,-56.0134
1498.00,-57.2427
1501.00,-55.4577
1504.00,-56.6552
1507.00,-56.2376
1510.00,-57.2853
1513.00,-55.7262
1516.00,-55.6257
1519.00,-55.7918
1522.00,-56.0672
1525.00,-56.1838
1528.00,-55.3140
1531.00,-55.3513
1534.00,-55.2073
1537.00,-55.4171
1540.00,-54.7569
1543.00,-54.9838
1546.00,-53.7491
1549.00,-54.3811
1552.00,-55.3363
1555.00,-54.5817
1558.00,-54.6023
1561.00,-55.4554
1564.00,-56.0284
1567.00,-55.5645
1570.00,-56.4357
1573.00,-55.5310
1576.00,-55.6603
1579.00,-56.6084
1582.00,-54.5614
1585.00,-55.1224
1588.00,-54.3079
1591.00,-54.1491
1594.00,-54.9449
1597.00,-55.0194
1600.00,-53.7408
