# Wavelength Sweep
# Date: 2026-02-04 19:58:49
# Start: 1480 nm
# Stop: 1600 nm
# Step: 3 nm
# Points: 41
# Duration: 48.7 s
#
wavelength_nm,power_dBm
1480.00,-73.9082
1483.00,-73.4273
1486.00,-76.4480
1489.00,-86.3555
1492.00,-74.9233
1495.00,-71.2403
1498.00,-76.9438
1501.00,-74.1915
1504.00,-75.0976
1507.00,-73.0132
1510.00,-74.0647
1513.00,-79.2719
1516.00,-79.2746
1519.00,-72.1791
1522.00,-76.9639
1525.00,-74.2116
1528.00,-78.4881
1531.00,-77.2350
1534.00,-inf
1537.00,-inf
1540.00,-77.5216
1543.00,-80.2694
1546.00,-75.1270
1549.00,-82.3333
1552.00,-inf
1555.00,-76.7294
1558.00,-75.8549
1561.00,-inf
1564.00,-89.5557
1567.00,-74.0910
1570.00,-inf
1573.00,-71.4924
1576.00,-70.8229
1579.00,-76.0617
1582.00,-72.9431
1585.00,-72.9438
1588.00,-75.8601
1591.00,-74.3659
1594.00,-65.8058
1597.00,-69.8729
1600.00,-73.8287
