# Wavelength Sweep
# Date: 2026-02-04 17:19:39
# Start: 1480 nm
# Stop: 1600 nm
# Step: 3 nm
# Points: 41
# Duration: 46.3 s
#
wavelength_nm,power_dBm
1480.00,-inf
1483.00,-inf
1486.00,-inf
1489.00,-inf
1492.00,-inf
1495.00,-80.8186
1498.00,-77.7905
1501.00,-76.9463
1504.00,-75.6316
1507.00,-80.2434
1510.00,-inf
1513.00,-inf
1516.00,-80.2510
1519.00,-77.2256
1522.00,-78.4833
1525.00,-inf
1528.00,-75.8452
1531.00,-75.8473
1534.00,-inf
1537.00,-inf
1540.00,-inf
1543.00,-82.3318
1546.00,-inf
1549.00,-inf
1552.00,-84.5897
1555.00,-inf
1558.00,-inf
1561.00,-inf
1564.00,-inf
1567.00,-82.3344
1570.00,-77.5263
1573.00,-77.5270
1576.00,-75.1309
1579.00,-inf
1582.00,-75.6662
1585.00,-inf
1588.00,-inf
1591.00,-inf
1594.00,-inf
1597.00,-89.5536
1600.00,-inf
