# Wavelength Sweep
# Date: 2026-02-04 19:18:16
# Start: 1480 nm
# Stop: 1600 nm
# Step: 3 nm
# Points: 41
# Duration: 47.7 s
#
wavelength_nm,power_dBm
1480.00,-72.8866
1483.00,-inf
1486.00,-74.1780
1489.00,-76.0149
1492.00,-72.8984
1495.00,-inf
1498.00,-86.3636
1501.00,-77.4920
1504.00,-72.3404
1507.00,-86.3708
1510.00,-74.4795
1513.00,-inf
1516.00,-inf
1519.00,-74.4874
1522.00,-84.5749
1525.00,-81.5199
1528.00,-73.3531
1531.00,-74.7971
1534.00,-78.4921
1537.00,-82.3290
1540.00,-80.2682
1543.00,-inf
1546.00,-71.8674
1549.00,-79.2945
1552.00,-75.8552
1555.00,-70.7579
1558.00,-80.2707
1561.00,-inf
1564.00,-83.3169
1567.00,-73.2541
1570.00,-74.3639
1573.00,-76.7321
1576.00,-79.7585
1579.00,-72.2865
1582.00,-inf
1585.00,-inf
1588.00,-72.7457
1591.00,-inf
1594.00,-73.2544
1597.00,-69.7741
1600.00,-75.8499
