# Wavelength Sweep
# Date: 2026-02-05 10:45:14
# Start: 1480 nm
# Stop: 1600 nm
# Step: 3 nm
# Points: 41
# Duration: 47.1 s
#
wavelength_nm,power_dBm
1480.00,-54.0008
1483.00,-54.5344
1486.00,-54.8465
1489.00,-56.1489
1492.00,-56.7617
1495.00,-57.3402
1498.00,-58.4511
1501.00,-57.9635
1504.00,-58.8706
1507.00,-60.7637
1510.00,-59.8565
1513.00,-58.5624
1516.00,-60.1891
1519.00,-57.9398
1522.00,-58.7060
1525.00,-55.3135
1528.00,-56.2901
1531.00,-55.1494
1534.00,-53.7401
1537.00,-53.2953
1540.00,-52.5885
1543.00,-51.8276
1546.00,-52.0711
1549.00,-51.9066
1552.00,-51.3716
1555.00,-52.1325
1558.00,-51.5031
1561.00,-51.1817
1564.00,-51.9608
1567.00,-51.4978
1570.00,-52.7452
1573.00,-53.0327
1576.00,-53.2526
1579.00,-53.4546
1582.00,-54.6309
1585.00,-53.6349
1588.00,-54.3567
1591.00,-54.8411
1594.00,-54.5158
1597.00,-53.5339
1600.00,-52.8676
