# Wavelength Sweep
# Date: 2026-02-04 18:46:27
# Start: 1480 nm
# Stop: 1600 nm
# Step: 3 nm
# Points: 41
# Duration: 46.4 s
#
wavelength_nm,power_dBm
1480.00,-75.6097
1483.00,-75.2495
1486.00,-72.1506
1489.00,-89.5125
1492.00,-75.0875
1495.00,-71.6754
1498.00,-71.4550
1501.00,-72.0797
1504.00,-74.3321
1507.00,-72.8108
1510.00,-73.9348
1513.00,-72.3478
1516.00,-70.3293
1519.00,-70.8023
1522.00,-71.9331
1525.00,-72.3581
1528.00,-71.5528
1531.00,-68.6542
1534.00,-67.5307
1537.00,-67.1422
1540.00,-67.1705
1543.00,-67.7136
1546.00,-68.8546
1549.00,-68.2997
1552.00,-70.1319
1555.00,-69.3130
1558.00,-69.4921
1561.00,-69.5382
1564.00,-73.3635
1567.00,-75.6626
1570.00,-80.2729
1573.00,-inf
1576.00,-inf
1579.00,-73.9640
1582.00,-74.2285
1585.00,-72.8438
1588.00,-71.7947
1591.00,-67.3690
1594.00,-66.1097
1597.00,-66.5248
1600.00,-66.3848
