# Wavelength Sweep
# Date: 2026-02-04 19:42:21
# Start: 1480 nm
# Stop: 1600 nm
# Step: 3 nm
# Points: 41
# Duration: 47.1 s
#
wavelength_nm,power_dBm
1480.00,-inf
1483.00,-79.2457
1486.00,-75.6157
1489.00,-76.2275
1492.00,-78.8380
1495.00,-79.2572
1498.00,-72.4252
1501.00,-75.6292
1504.00,-77.2130
1507.00,-inf
1510.00,-79.7300
1513.00,-75.1050
1516.00,-79.2746
1519.00,-inf
1522.00,-83.3018
1525.00,-80.2587
1528.00,-74.6423
1531.00,-75.6537
1534.00,-69.9697
1537.00,-73.2487
1540.00,-73.8312
1543.00,-89.5538
1546.00,-80.2703
1549.00,-81.5320
1552.00,-74.5048
1555.00,-75.4760
1558.00,-inf
1561.00,-75.2982
1564.00,-71.9482
1567.00,-73.8350
1570.00,-71.7147
1573.00,-74.6549
1576.00,-73.7147
1579.00,-inf
1582.00,-inf
1585.00,-73.2583
1588.00,-70.1902
1591.00,-67.6587
1594.00,-69.1424
1597.00,-72.4583
1600.00,-74.7998
