# Wavelength Sweep
# Date: 2026-02-04 19:29:44
# Start: 1480 nm
# Stop: 1600 nm
# Step: 3 nm
# Points: 41
# Duration: 48.5 s
#
wavelength_nm,power_dBm
1480.00,-57.9504
1483.00,-58.7142
1486.00,-56.0257
1489.00,-57.0941
1492.00,-56.5433
1495.00,-56.5813
1498.00,-55.8394
1501.00,-56.9172
1504.00,-54.2138
1507.00,-55.9574
1510.00,-55.6432
1513.00,-54.9193
1516.00,-54.7335
1519.00,-55.1602
1522.00,-54.5244
1525.00,-57.2025
1528.00,-56.2508
1531.00,-55.8963
1534.00,-54.9167
1537.00,-57.1647
1540.00,-55.5756
1543.00,-54.8750
1546.00,-53.4762
1549.00,-53.9175
1552.00,-53.6379
1555.00,-53.3493
1558.00,-53.8370
1561.00,-53.3872
1564.00,-54.9841
1567.00,-55.0272
1570.00,-54.6297
1573.00,-53.2770
1576.00,-56.3608
1579.00,-54.3655
1582.00,-55.3094
1585.00,-51.8150
1588.00,-52.4529
1591.00,-51.1918
1594.00,-51.8103
1597.00,-49.8428
1600.00,-52.7283
